1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):76:2678:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
45:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):208:6948:worklist.add(candidate); |==> <NO-OP>
46:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):216:7099:astPosition.put(n, astPositionCounter++); |==> <NO-OP>
47:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7237:n == cfg.getEntry().getValue() |==> false
48:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7208:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions != (n == cfg.getEntry().getValue())
49:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7208:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions
50:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7235:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> n == cfg.getEntry().getValue()
51:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7232:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> true
52:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:7279:exceptionHandler.push(n); |==> <NO-OP>
53:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):222:7322:true |==> false
54:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7353:false |==> true
55:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):226:7390:exceptionHandler.push(n); |==> <NO-OP>
56:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):227:7431:true |==> false
57:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):246:8228:parent != null |==> true
58:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):250:8369:n == parent.getLastChild() |==> false
59:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):256:8521:n != parent.getFirstChild() |==> true
60:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):258:8590:n != parent.getFirstChild().getNext() |==> true
61:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):264:8797:n != parent.getFirstChild() |==> true
62:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):266:8872:n == parent.getFirstChild().getNext().getNext() |==> false
63:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):273:9100:false |==> true
64:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):281:9554:n == parent.getFirstChild().getNext() |==> false
65:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):282:9654:exceptionHandler.peek() == parent |==> false
66:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):282:9605:Preconditions.checkState(exceptionHandler.peek() == parent); |==> <NO-OP>
67:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):283:9678:exceptionHandler.pop(); |==> <NO-OP>
68:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):287:9739:true |==> false
69:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):294:9878:handleIf(n); |==> <NO-OP>
70:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):297:9939:handleWhile(n); |==> <NO-OP>
71:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):300:10000:handleDo(n); |==> <NO-OP>
72:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):303:10059:handleFor(n); |==> <NO-OP>
73:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):306:10122:handleSwitch(n); |==> <NO-OP>
74:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):309:10186:handleCase(n); |==> <NO-OP>
75:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):312:10251:handleDefault(n); |==> <NO-OP>
76:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):316:10342:handleStmtList(n); |==> <NO-OP>
77:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):319:10412:handleFunction(n); |==> <NO-OP>
78:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):322:10485:handleExpr(n); |==> <NO-OP>
79:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):325:10548:handleThrow(n); |==> <NO-OP>
80:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):328:10610:handleTry(n); |==> <NO-OP>
81:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):331:10672:handleCatch(n); |==> <NO-OP>
82:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):334:10736:handleBreak(n); |==> <NO-OP>
83:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):337:10803:handleContinue(n); |==> <NO-OP>
84:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):340:10871:handleReturn(n); |==> <NO-OP>
85:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):343:10935:handleWith(n); |==> <NO-OP>
86:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):348:11029:handleStmt(n); |==> <NO-OP>
87:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):356:11207:createEdge(node, Branch.ON_TRUE, computeFallThrough(thenBlock)); |==> <NO-OP>
88:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):358:11291:elseBlock == null |==> false
89:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):359:11308:createEdge(node, Branch.ON_FALSE, computeFollowNode(node)); |==> <NO-OP>
90:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):362:11417:createEdge(node, Branch.ON_FALSE, computeFallThrough(elseBlock)); |==> <NO-OP>
91:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):364:11493:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
92:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):370:11710:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild().getNext())); |==> <NO-OP>
93:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):374:11882:createEdge(node, Branch.ON_FALSE, computeFollowNode(node)); |==> <NO-OP>
94:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):376:11954:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
95:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):383:12180:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild())); |==> <NO-OP>
96:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):385:12324:createEdge(node, Branch.ON_FALSE, computeFollowNode(node)); |==> <NO-OP>
97:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):387:12396:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
98:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):392:12566:4 |==> 0
99:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):392:12566:4 |==> -4
100:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):392:12539:forNode.getChildCount() == 4 |==> forNode.getChildCount() <= 4
101:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):392:12539:forNode.getChildCount() == 4 |==> forNode.getChildCount() >= 4
102:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):392:12563:forNode.getChildCount() == 4 |==> false
103:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):400:12901:createEdge(init, Branch.UNCOND, forNode); |==> <NO-OP>
104:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):402:13024:createEdge(forNode, Branch.ON_TRUE, computeFallThrough(body)); |==> <NO-OP>
105:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):404:13131:createEdge(forNode, Branch.ON_FALSE, computeFollowNode(forNode)); |==> <NO-OP>
106:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):410:13457:createEdge(iter, Branch.UNCOND, forNode); |==> <NO-OP>
107:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):411:13505:connectToPossibleExceptionHandler(init, init); |==> <NO-OP>
108:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):412:13558:connectToPossibleExceptionHandler(forNode, cond); |==> <NO-OP>
