language,project,bug_id,raw_mapping,operator_set,unresolved,is_no_operator,strict_eligible,operators,unresolved_labels,mapping_id
Java,cli,Cli29,"DOC[16],MOCS[20],SM[30],ROR[70]","frozenset({'MOCS', 'DOC', 'SM', 'ROR'})",(),False,True,DOC;MOCS;ROR;SM,,Java::cli::Cli29
Java,cli,Cli30,"CN[31],MCR[2],CI[36]","frozenset({'CN', 'MCR', 'CI'})",(),False,True,CI;CN;MCR,,Java::cli::Cli30
Java,cli,Cli32,LD[33],frozenset({'WLI'}),(),False,True,WLI,,Java::cli::Cli32
Java,cli,Cli34,"VA[200],DTR[5]","frozenset({'DTR', 'VA'})",(),False,True,DTR;VA,,Java::cli::Cli34
Java,cli,Cli35,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::cli::Cli35
Java,cli,Cli36,"AIS[218],MCR[2]","frozenset({'MCR', 'AIS'})",(),False,True,AIS;MCR,,Java::cli::Cli36
Java,cli,Cli37,"CI[36],LOR[58],MRV[145]","frozenset({'MRV', 'CI', 'LOR'})",(),False,True,CI;LOR;MRV,,Java::cli::Cli37
Java,cli,Cli38,"CI[36],LOR[58],MRV[145]","frozenset({'MRV', 'CI', 'LOR'})",(),False,True,CI;LOR;MRV,,Java::cli::Cli38
Java,cli,Cli40,SI[77],frozenset({'SI'}),(),False,True,SI,,Java::cli::Cli40
Java,cli,Cli41,"VA[200],EII[?],VR[26]","frozenset({'EII', 'VR', 'VA'})",(),False,True,EII;VA;VR,,Java::cli::Cli41
Java,cli,Cli42,"CI[36],SI[77]","frozenset({'SI', 'CI'})",(),False,True,CI;SI,,Java::cli::Cli42
Java,csv,Csv1,"MOCS[20],LOR[58]","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::csv::Csv1
Java,csv,Csv2,EI[38],frozenset({'EI'}),(),False,True,EI,,Java::csv::Csv2
Java,csv,Csv3,"CI[36],MRV[145],LOR[58]","frozenset({'MRV', 'CI', 'LOR'})",(),False,True,CI;LOR;MRV,,Java::csv::Csv3
Java,csv,Csv4,"CI[36],LOR[58],MRV[145],MCR[2]","frozenset({'MRV', 'MCR', 'CI', 'LOR'})",(),False,True,CI;LOR;MCR;MRV,,Java::csv::Csv4
Java,csv,Csv5,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::csv::Csv5
Java,csv,Csv6,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::csv::Csv6
Java,csv,CSV7,"AIS[218],CI[36]","frozenset({'CI', 'AIS'})",(),False,True,AIS;CI,,Java::csv::CSV7
Java,csv,csv8,"CI[36],MCR[2],FLI[205],SI[77],DOM[?]","frozenset({'MA', 'MCR', 'SI', 'FLI', 'CI'})",(),False,True,CI;FLI;MA;MCR;SI,,Java::csv::csv8
Java,csv,csv9,"AONC[42],CI[36]",frozenset({'CI'}),(),False,True,CI,,Java::csv::csv9
Java,csv,Csv10,"RE[196],CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::csv::Csv10
Java,csv,Csv11,"AONC[42],LOR[58]",frozenset({'LOR'}),(),False,True,LOR,,Java::csv::Csv11
Java,csv,Csv12,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::csv::Csv12
Java,csv,Csv13,"MCR[2],CI[36]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::csv::Csv13
Java,csv,Csv14,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::csv::Csv14
Java,csv,Csv15,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::csv::Csv15
Java,csv,Csv16,"MCR[2],VR[26],MRV[145]","frozenset({'MRV', 'MCR', 'VR'})",(),False,True,MCR;MRV;VR,,Java::csv::Csv16
Java,csv,Csv17,MRV[145],frozenset({'MRV'}),(),False,True,MRV,,Java::csv::Csv17
Java,codec,codec1,"MRV[145],MCR[2]","frozenset({'MRV', 'MCR'})",(),False,True,MCR;MRV,,Java::codec::codec1
Java,codec,codec2,"MOCS[20],LOR[58]","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::codec::codec2
Java,codec,codec3,"CR[6],SD[28],El[?]","frozenset({'CR', 'SD'})",(),False,True,CR;SD,,Java::codec::codec3
Java,codec,codec4,CR[6],frozenset({'CR'}),(),False,True,CR,,Java::codec::codec4
Java,codec,codec5,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::codec::codec5
Java,codec,codec6,"WLI[205],VA[200],MRV[145],MCR[2]","frozenset({'MRV', 'WLI', 'MCR', 'VA'})",(),False,True,MCR;MRV;VA;WLI,,Java::codec::codec6
Java,codec,codec7,MRV[145],frozenset({'MRV'}),(),False,True,MRV,,Java::codec::codec7
Java,codec,codec8,DOM[?],frozenset({'MA'}),(),False,True,MA,,Java::codec::codec8
Java,codec,codec9,"CI[36],MPM[93]","frozenset({'MPM', 'CI'})",(),False,True,CI;MPM,,Java::codec::codec9
Java,codec,codec10,SMRO[52],frozenset({'SM'}),(),False,True,SM,,Java::codec::codec10
Java,codec,codec15,"FLI[205],MCR[2],CI[36]","frozenset({'MCR', 'CI', 'FLI'})",(),False,True,CI;FLI;MCR,,Java::codec::codec15
Java,codec,codec16,DS[28],frozenset({'SD'}),(),False,True,SD,,Java::codec::codec16
Java,codec,codec17,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::codec::codec17
Java,codec,codec18,"LOR[58],MPM[93]","frozenset({'MPM', 'LOR'})",(),False,True,LOR;MPM,,Java::codec::codec18
Java,codec,codec19,"MCR[2],DS[28]","frozenset({'MCR', 'SD'})",(),False,True,MCR;SD,,Java::codec::codec19
Java,gson,gson1,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::gson::gson1
Java,gson,gson2,"CI[36],CASEI[?]","frozenset({'CI', 'CASEI'})",(),False,True,CASEI;CI,,Java::gson::gson2
Java,gson,gson3,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::gson::gson3
Java,gson,gson4,"LOR[58],CI[36]","frozenset({'CI', 'LOR'})",(),False,True,CI;LOR,,Java::gson::gson4
Java,gson,gson5,"LOR[58],CI[36],SR[183]","frozenset({'SR', 'CI', 'LOR'})",(),False,True,CI;LOR;SR,,Java::gson::gson5
Java,gson,gson6,"CI[36],MCR[2],MRV[145]","frozenset({'MRV', 'MCR', 'CI'})",(),False,True,CI;MCR;MRV,,Java::gson::gson6
Java,gson,gson7,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::gson::gson7
Java,gson,gson8,DS[28],frozenset({'SD'}),(),False,True,SD,,Java::gson::gson8
Java,gson,gson9,"LOR[58],DS[28]","frozenset({'SD', 'LOR'})",(),False,True,LOR;SD,,Java::gson::gson9
Java,gson,gson10,"SR[183],DS[28]","frozenset({'SD', 'SR'})",(),False,True,SD;SR,,Java::gson::gson10
Java,gson,gson14,"MCR[2],MPM[93]","frozenset({'MCR', 'MPM'})",(),False,True,MCR;MPM,,Java::gson::gson14
Java,gson,gson18,"CI[36],MCR[2],MRV[145]","frozenset({'MRV', 'MCR', 'CI'})",(),False,True,CI;MCR;MRV,,Java::gson::gson18
Java,gson,gson20,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::gson::gson20
Java,chart,chart1,ROR[70],frozenset({'ROR'}),(),False,True,ROR,,Java::chart::chart1
Java,chart,chart3,SI[77],frozenset({'SI'}),(),False,True,SI,,Java::chart::chart3
Java,chart,chart4,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::chart::chart4
Java,chart,chart5,"CI[36],MCR[2],MRV[145]","frozenset({'MRV', 'MCR', 'CI'})",(),False,True,CI;MCR;MRV,,Java::chart::chart5
Java,chart,chart7,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::chart::chart7
Java,chart,chart8,MPM[93],frozenset({'MPM'}),(),False,True,MPM,,Java::chart::chart8
Java,chart,chart9,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::chart::chart9
Java,chart,chart10,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::chart::chart10
Java,chart,chart11,VR[26],frozenset({'VR'}),(),False,True,VR,,Java::chart::chart11
Java,chart,chart12,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::chart::chart12
Java,chart,chart13,"CR[6],MPM[93]","frozenset({'CR', 'MPM'})",(),False,True,CR;MPM,,Java::chart::chart13
Java,chart,chart14,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::chart::chart14
Java,chart,chart15,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::chart::chart15
Java,chart,chart16,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::chart::chart16
Java,chart,chart17,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::chart::chart17
Java,chart,chart19,"CI[36],SI[77]","frozenset({'SI', 'CI'})",(),False,True,CI;SI,,Java::chart::chart19
Java,chart,chart20,MPM[93],frozenset({'MPM'}),(),False,True,MPM,,Java::chart::chart20
Java,chart,chart24,VR[26],frozenset({'VR'}),(),False,True,VR,,Java::chart::chart24
Java,chart,chart26,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::chart::chart26
Java,collections,collections26,VR[26],frozenset({'VR'}),(),False,True,VR,,Java::collections::collections26
Java,collections,collections29,SR[183],frozenset({'SR'}),(),False,True,SR,,Java::collections::collections29
Java,collections,collections30,"MCR[2],MRV[145]","frozenset({'MRV', 'MCR'})",(),False,True,MCR;MRV,,Java::collections::collections30
Java,collections,collections31,SR[183],frozenset({'SR'}),(),False,True,SR,,Java::collections::collections31
Java,closure,closure1,BCO[17],frozenset({'BCO'}),(),False,True,BCO,,Java::closure::closure1
Java,closure,closure2,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::closure::closure2
Java,closure,closure4,MNM[94],frozenset({'MCR'}),(),False,True,MCR,,Java::closure::closure4
Java,closure,closure5,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::closure::closure5
Java,closure,closure6,DOC[16],frozenset({'DOC'}),(),False,True,DOC,,Java::closure::closure6
Java,closure,closure7,"EII[?],MRV[145]","frozenset({'MRV', 'EII'})",(),False,True,EII;MRV,,Java::closure::closure7
Java,closure,closure8,"MA[39],LOR[58]","frozenset({'MA', 'LOR'})",(),False,True,LOR;MA,,Java::closure::closure8
Java,closure,closure9,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::closure::closure9
Java,closure,closure10,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::closure::closure10
Java,closure,closure11,DOC[16],frozenset({'DOC'}),(),False,True,DOC,,Java::closure::closure11
Java,closure,closure13,SR[183],frozenset({'SR'}),(),False,True,SR,,Java::closure::closure13
Java,closure,closure14,CR[6],frozenset({'CR'}),(),False,True,CR,,Java::closure::closure14
Java,closure,closure15,"BCO[17],MRV[145]","frozenset({'MRV', 'BCO'})",(),False,True,BCO;MRV,,Java::closure::closure15
Java,closure,closure18,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::closure::closure18
Java,closure,closure19,"CI[?],CFSM[27]","frozenset({'CI', 'CFSM'})",(),False,True,CFSM;CI,,Java::closure::closure19
Java,closure,closure20,ROR[70],frozenset({'ROR'}),(),False,True,ROR,,Java::closure::closure20
Java,closure,closure24,"LOR[58],EII[?]","frozenset({'EII', 'LOR'})",(),False,True,EII;LOR,,Java::closure::closure24
Java,closure,closure25,"SR[183],DOL[?],MCR[2]","frozenset({'MCR', 'SR'})",(),False,True,MCR;SR,,Java::closure::closure25
Java,closure,closure26,"MCR[2],CI[36],MRV[145]","frozenset({'MRV', 'MCR', 'CI'})",(),False,True,CI;MCR;MRV,,Java::closure::closure26
Java,closure,closure27,"MA[39],MCR[2]","frozenset({'MA', 'MCR'})",(),False,True,MA;MCR,,Java::closure::closure27
Java,closure,closure28,"MA[39],AA[214]","frozenset({'MA', 'AA'})",(),False,True,AA;MA,,Java::closure::closure28
Java,closure,closure31,DOC[16],frozenset({'DOC'}),(),False,True,DOC,,Java::closure::closure31
Java,closure,closure33,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::closure::closure33
Java,closure,closure34,"MPM[93],LOR[58],CI[36]","frozenset({'MPM', 'CI', 'LOR'})",(),False,True,CI;LOR;MPM,,Java::closure::closure34
Java,closure,closure35,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::closure::closure35
Java,closure,closure36,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::closure::closure36
Java,closure,closure38,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::closure::closure38
Java,closure,closure39,"MPM[93],ROR[70],MRV[145]","frozenset({'MRV', 'MPM', 'ROR'})",(),False,True,MPM;MRV;ROR,,Java::closure::closure39
Java,closure,closure40,MPM[93],frozenset({'MPM'}),(),False,True,MPM,,Java::closure::closure40
Java,closure,closure44,"EII[?],LOR[58],SI[77]","frozenset({'EII', 'SI', 'LOR'})",(),False,True,EII;LOR;SI,,Java::closure::closure44
Java,closure,closure48,"LOR[58],EII[?]","frozenset({'EII', 'LOR'})",(),False,True,EII;LOR,,Java::closure::closure48
Java,closure,closure50,"LOR[58],CI[36]","frozenset({'CI', 'LOR'})",(),False,True,CI;LOR,,Java::closure::closure50
Java,closure,closure51,"LOR[58],MA[39],MRV[145]","frozenset({'MA', 'MRV', 'LOR'})",(),False,True,LOR;MA;MRV,,Java::closure::closure51
Java,closure,closure52,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::closure::closure52
Java,closure,closure53,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::closure::closure53
Java,closure,closure55,"LOR[58],MCR[2]","frozenset({'MCR', 'LOR'})",(),False,True,LOR;MCR,,Java::closure::closure55
Java,closure,closure56,BCO[17],frozenset({'BCO'}),(),False,True,BCO,,Java::closure::closure56
Java,closure,closure57,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::closure::closure57
Java,closure,closure58,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::closure::closure58
Java,closure,closure59,"LOR[58],CI[36]","frozenset({'CI', 'LOR'})",(),False,True,CI;LOR,,Java::closure::closure59
Java,closure,closure60,"CI[?],CFSM[27],CI[36],MRV[145]","frozenset({'MRV', 'CI', 'CFSM'})",(),False,True,CFSM;CI;MRV,,Java::closure::closure60
Java,closure,closure62,"BCO[17],LOR[58]","frozenset({'LOR', 'BCO'})",(),False,True,BCO;LOR,,Java::closure::closure62
Java,closure,closure64,"MPM[93],MRV[145],LOR[58]","frozenset({'MRV', 'MPM', 'LOR'})",(),False,True,LOR;MPM;MRV,,Java::closure::closure64
Java,closure,closure65,CR[6],frozenset({'CR'}),(),False,True,CR,,Java::closure::closure65
Java,closure,closure66,"EI[?],MCR2]",frozenset({'EI'}),(),False,True,EI,,Java::closure::closure66
Java,closure,closure67,ROR[70],frozenset({'ROR'}),(),False,True,ROR,,Java::closure::closure67
Java,closure,closure68,"BR[140],MCR[2]","frozenset({'MCR', 'BR'})",(),False,True,BR;MCR,,Java::closure::closure68
Java,unknown,69,"CI[36],LOR[58],MCR[2]","frozenset({'MCR', 'CI', 'LOR'})",(),False,True,CI;LOR;MCR,,Java::unknown::69
Java,unknown,70,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::70
Java,unknown,71,"LOR[58],MCR[2]","frozenset({'MCR', 'LOR'})",(),False,True,LOR;MCR,,Java::unknown::71
Java,unknown,72,"MCR[2],LOR[58]","frozenset({'MCR', 'LOR'})",(),False,True,LOR;MCR,,Java::unknown::72
Java,unknown,73,ROR[70],frozenset({'ROR'}),(),False,True,ROR,,Java::unknown::73
Java,unknown,75,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::75
Java,unknown,77,CI[?],frozenset({'CI'}),(),False,True,CI,,Java::unknown::77
Java,unknown,78,SD[28],frozenset({'SD'}),(),False,True,SD,,Java::unknown::78
Java,unknown,79,"MPM[93],MCR[2]","frozenset({'MCR', 'MPM'})",(),False,True,MCR;MPM,,Java::unknown::79
Java,unknown,80,CI[?],frozenset({'CI'}),(),False,True,CI,,Java::unknown::80
Java,unknown,82,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::unknown::82
Java,unknown,83,"VA[200],EI[38]","frozenset({'VA', 'EI'})",(),False,True,EI;VA,,Java::unknown::83
Java,unknown,86,MRV[145],frozenset({'MRV'}),(),False,True,MRV,,Java::unknown::86
Java,unknown,89,"CI[36],MCR[2],ROR[70]","frozenset({'ROR', 'MCR', 'CI'})",(),False,True,CI;MCR;ROR,,Java::unknown::89
Java,unknown,90,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::90
Java,unknown,92,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::92
Java,unknown,95,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::95
Java,unknown,96,"LOR[58],CI[36]","frozenset({'CI', 'LOR'})",(),False,True,CI;LOR,,Java::unknown::96
Java,unknown,97,"VA[200],DTR[5]","frozenset({'DTR', 'VA'})",(),False,True,DTR;VA,,Java::unknown::97
Java,unknown,100,"VA[200],CI[36],LOR[58], MRV[145]","frozenset({'MRV', 'CI', 'LOR', 'VA'})",(),False,True,CI;LOR;MRV;VA,,Java::unknown::100
Java,unknown,101,VA[200],frozenset({'VA'}),(),False,True,VA,,Java::unknown::101
Java,unknown,102,SR[183],frozenset({'SR'}),(),False,True,SR,,Java::unknown::102
Java,unknown,104,MOCS[20],frozenset({'MOCS'}),(),False,True,MOCS,,Java::unknown::104
Java,unknown,105,"VA[200],CI[36],MCR[2]","frozenset({'MCR', 'CI', 'VA'})",(),False,True,CI;MCR;VA,,Java::unknown::105
Java,unknown,106,"MCR[2],CI[36],MRV[145],DOC[16]","frozenset({'MRV', 'DOC', 'MCR', 'CI'})",(),False,True,CI;DOC;MCR;MRV,,Java::unknown::106
Java,unknown,107,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::107
Java,unknown,108,"MCR[2],LOR[58]","frozenset({'MCR', 'LOR'})",(),False,True,LOR;MCR,,Java::unknown::108
Java,unknown,109,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::unknown::109
Java,unknown,111,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::unknown::111
Java,unknown,113,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::unknown::113
Java,unknown,114,"LOR[58],EII[?]","frozenset({'EII', 'LOR'})",(),False,True,EII;LOR,,Java::unknown::114
Java,unknown,118,"CI[36],CFSM[27]","frozenset({'CI', 'CFSM'})",(),False,True,CFSM;CI,,Java::unknown::118
Java,unknown,119,CI[?],frozenset({'CI'}),(),False,True,CI,,Java::unknown::119
Java,unknown,120,"CI[36],MRV[145]","frozenset({'MRV', 'CI'})",(),False,True,CI;MRV,,Java::unknown::120
Java,unknown,121,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::unknown::121
Java,unknown,122,"CI[36],VA[200],DTR[5],MCR[2]","frozenset({'MCR', 'CI', 'DTR', 'VA'})",(),False,True,CI;DTR;MCR;VA,,Java::unknown::122
Java,unknown,123,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::123
Java,unknown,124,WLI[205],frozenset({'WLI'}),(),False,True,WLI,,Java::unknown::124
Java,unknown,125,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::unknown::125
Java,unknown,126,DOC[16],frozenset({'DOC'}),(),False,True,DOC,,Java::unknown::126
Java,unknown,128,"CI[36], MRV[145],LOR[58]","frozenset({'MRV', 'CI', 'LOR'})",(),False,True,CI;LOR;MRV,,Java::unknown::128
Java,unknown,129,WLI[205],frozenset({'WLI'}),(),False,True,WLI,,Java::unknown::129
Java,unknown,130,"MOCS[20],LOR[58}","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::unknown::130
Java,unknown,131,"MOCS[20],LOR[58}","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::unknown::131
Java,unknown,132,"MOCS[20],LOR[58}","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::unknown::132
Java,unknown,133,SI[77],frozenset({'SI'}),(),False,True,SI,,Java::unknown::133
Java,unknown,142,"CI[36],MCR[2],LOR[58],BR[140]","frozenset({'MCR', 'LOR', 'CI', 'BR'})",(),False,True,BR;CI;LOR;MCR,,Java::unknown::142
Java,unknown,143,LOR[58],frozenset({'LOR'}),(),False,True,LOR,,Java::unknown::143
Java,unknown,146,"MCR[2],MRV[145]","frozenset({'MRV', 'MCR'})",(),False,True,MCR;MRV,,Java::unknown::146
Java,unknown,150,"MCR[2],DOC[16]","frozenset({'DOC', 'MCR'})",(),False,True,DOC;MCR,,Java::unknown::150
Java,unknown,152,"MCR[2],CI[36]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::152
Java,unknown,159,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::159
Java,unknown,160,"MCR[2],LOR[58]","frozenset({'MCR', 'LOR'})",(),False,True,LOR;MCR,,Java::unknown::160
Java,unknown,161,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::unknown::161
Java,unknown,168,"MOCS[20],CR[6]","frozenset({'MOCS', 'CR'})",(),False,True,CR;MOCS,,Java::unknown::168
Java,unknown,171,"LOR[58],CI[36]","frozenset({'CI', 'LOR'})",(),False,True,CI;LOR,,Java::unknown::171
Java,compress,Compress1,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::compress::Compress1
Java,unknown,3,"VA[200],CI[36]","frozenset({'CI', 'VA'})",(),False,True,CI;VA,,Java::unknown::3
Java,unknown,4,"MOD[?],MCR[2]",frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::4
Java,unknown,5,"MOCS[20],LOR[58]","frozenset({'MOCS', 'LOR'})",(),False,True,LOR;MOCS,,Java::unknown::5
Java,unknown,6,"MOCS[20],MCR[2]","frozenset({'MOCS', 'MCR'})",(),False,True,MCR;MOCS,,Java::unknown::6
Java,unknown,7,"MOCS[20],DTR[5],MCR[2]","frozenset({'MOCS', 'MCR', 'DTR'})",(),False,True,DTR;MCR;MOCS,,Java::unknown::7
Java,unknown,10,"MCR[2],FLI[205]","frozenset({'MCR', 'FLI'})",(),False,True,FLI;MCR,,Java::unknown::10
Java,unknown,11,CI[36],frozenset({'CI'}),(),False,True,CI,,Java::unknown::11
Java,unknown,12,EI[38],frozenset({'EI'}),(),False,True,EI,,Java::unknown::12
Java,unknown,13,"CI[36],MCR[2]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::13
Java,unknown,14,MOCS[20],frozenset({'MOCS'}),(),False,True,MOCS,,Java::unknown::14
Java,unknown,15,"SI[77],MOCS[20],ROR[70]","frozenset({'MOCS', 'SI', 'ROR'})",(),False,True,MOCS;ROR;SI,,Java::unknown::15
Java,unknown,16,"MCR[2],CI[36]","frozenset({'MCR', 'CI'})",(),False,True,CI;MCR,,Java::unknown::16
Java,unknown,17,WLI[205],frozenset({'WLI'}),(),False,True,WLI,,Java::unknown::17
Java,unknown,18,"WLI[205],MCR[2]","frozenset({'WLI', 'MCR'})",(),False,True,MCR;WLI,,Java::unknown::18
Java,unknown,19,ROR[70],frozenset({'ROR'}),(),False,True,ROR,,Java::unknown::19
Java,unknown,20,COR[10],frozenset({'ROR'}),(),False,True,ROR,,Java::unknown::20
Java,unknown,21,COR[10],frozenset({'ROR'}),(),False,True,ROR,,Java::unknown::21
Java,unknown,22,"SD[28],MRV[145]","frozenset({'MRV', 'SD'})",(),False,True,MRV;SD,,Java::unknown::22
Java,unknown,23,"BWO[186],DTR[5]","frozenset({'DTR', 'BWO'})",(),False,True,BWO;DTR,,Java::unknown::23
Java,unknown,24,WLI[205],frozenset({'WLI'}),(),False,True,WLI,,Java::unknown::24
Java,unknown,25,"WLI[205],LOR[58],CI[36],MCR[2],MPM[93]","frozenset({'MCR', 'MPM', 'CI', 'WLI', 'LOR'})",(),False,True,CI;LOR;MCR;MPM;WLI,,Java::unknown::25
Java,unknown,26,MCR[2],frozenset({'MCR'}),(),False,True,MCR,,Java::unknown::26
Java,unknown,27,DOC[16],frozenset({'DOC'}),(),False,True,DOC,,Java::unknown::27
