Mutant ID ,Munatnt Operator ,Reference,Explanation,BugID,Bug identification
"SD[28],CI[36],MCR[2]","""Statement Deletion."",""Condition Insertion"",""MethodCallReplacement""","The Art of Mutation Testing"" by Jia and Harman (2011).","The code snippet you provided shows a modification in the HelpFormatter class. It involves changes to the logic within a while loop. Here is the description of the mutation and the corresponding mutation operator used:

Mutation: Removal of exception-throwing condition

    Mutant Operator: MUT_REMOVE_CONDITION

Description:
The mutation involves the following changes to the code:

    The condition if (pos == lastPos) is removed.
    The exception-throwing block of code within the condition is also removed.

Effect:
The removed condition and the associated exception-throwing block were responsible for detecting an infinite loop scenario caused by a line of text being too long to fit within the specified width. The exception was thrown to avoid getting stuck in an infinite loop. After the mutation, the code still checks if the length of text is greater than width, and if pos is equal to nextLineTabStop - 1. If both conditions are true, the text is appended to sb (a StringBuilder object), and the result is returned. The removal of the exception-throwing condition means that the code will no longer throw a runtime exception when encountering a text that is too long for a line. Instead, it will append the text to sb and continue the execution.",Cli23,
VA[200],"""Variable Assignment""","the Art of Mutation Testing"" by Jia and Harman (2011).","modification in an if condition within the HelpFormatter class. Here is the description of the mutation and the corresponding mutation operator used:

Mutation: Replacement of exception-throwing block with alternative logic

    Mutant Operator: MUT_REPLACE_EXCEPTION

Description:
The mutation involves the following changes to the code:

    The exception-throwing block within the if condition is replaced.
    Instead of throwing an IllegalStateException, the code sets the value of nextLineTabStop to width - 1.

Effect:
The original code checks if nextLineTabStop is greater than or equal to width. If the condition is true, it throws an exception to indicate that there is not enough room for the description within the specified width.

After the mutation, the code no longer throws an exception. Instead, it sets the value of nextLineTabStop to width - 1. This adjustment ensures that subsequent lines will be padded with spaces up to the new value of nextLineTabStop, providing a way to avoid the infinite loop situation caused by the description exceeding the available width.

The purpose of this mutation is to replace the exception-based approach with an alternative logic that adjusts the value of nextLineTabStop to prevent the infinite loop from occurring.",Cli24,
VA[200],"""Variable Assignment""","Lonetti, F. and Marchetti, E., 2010, September. X-MuT: a tool for the generation of XSLT mutants. In 2010 Seventh International Conference on the Quality of Information and Communications Technology (pp. 280-285). IEEE.","if condition within the code. Here is the description of the mutation and the corresponding mutation operator used:

Mutation: Modification of value assignment

    Mutant Operator: MUT_MODIFY_VALUE

Description:
The mutation involves the following changes to the code:

    The value assignment nextLineTabStop = width - 1 is replaced.
    The new value assigned to nextLineTabStop is 1.

Effect:
In the original code, when the condition nextLineTabStop >= width is true, the value of nextLineTabStop is adjusted to width - 1. This adjustment is intended to prevent an infinite loop from occurring by ensuring that subsequent lines are padded with spaces up to nextLineTabStop.

After the mutation, the code modifies the value assigned to nextLineTabStop when the condition is true. Instead of setting it to width - 1, the new value assigned is 1. This mutation could potentially impact the behavior of subsequent lines, as the padding will now be applied differently.",Cli25,
"VR[26],EI[38],MCR[2]","""Variable Declaration"",""Exception Insertion"",""MethodCallReplcement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation moves the declaration and initialization of the option variable from before the try block to inside the try block. As a result, the variable option is no longer initialized with null before the try block. This change can have implications depending on how the option variable is used in the surrounding code.

In the original code, if an exception occurs during the creation of the Option object, the option variable would still be null in the finally block, indicating that an error occurred. However, in the mutated code, if an exception is thrown during the creation of the Option object, the option variable will remain uninitialized in the finally block. This could potentially lead to unexpected behavior or null pointer exceptions if the option variable is accessed or used later in the code.

It's important to note that the impact of this mutation depends on the context and how the option variable is used beyond the given code snippet.",Cli26,
MCR[2],"""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation replaces the method call option.getOpt() with option.getKey() within the equals comparison. This mutation assumes that the Option class has a method called getKey() that serves a similar purpose to getOpt(), returning a key associated with the option.

The impact of this mutation depends on the specific behavior of the Option class and how the getOpt() and getKey() methods are implemented. If both methods return the same value, the mutation would have no effect on the program's behavior. However, if getOpt() and getKey() return different values, the mutated code would change the selected value based on the key instead of the option.",Cli27,
CFSM[27],Control Flow Statement Modification.,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","mutation has been applied by changing the break statement to a continue statement. The mutant operation name for this mutation could be ""Control Flow Statement Modification."" The mutation changes the break statement to a continue statement within the if condition. In the original code, when the condition value.equalsIgnoreCase(""yes"") || value.equalsIgnoreCase(""true"") || value.equals(""1"") is true, the opt option is added to the cmd object using cmd.addOption(opt), and then the loop is exited immediately with the break statement.In the mutated code, when the condition is true, the opt option is still added to the cmd object, but instead of exiting the loop, the continue statement skips the remaining code inside the loop and proceeds to the next iteration.",Cli28,
"DOC[16],MOCS[20],SM[30],ROR[70]","""Deletion Of If Statement"", ""Condition Modification."",""Substring Modification."",""Rational Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","This mutation removes the code block inside the if statement, resulting in the removal of the substring operation. The mutant operator for this mutation could be ""Statement Deletion."", This mutation changes the condition to check whether the length of the string is greater than 1 before checking if it starts and ends with a double quote. The mutant operator for this mutation could be ""Condition Modification."", This mutation changes the substring operation to exclude the last character of the string. The mutant operator for this mutation could be ""Substring Modification."" The overall effect of these mutations is to modify the behavior of the formatString method.

In the original code, the method removes the double quotes from the start and end of the string str if they are present. If the string starts and ends with double quotes, the first mutation removes the opening quote, and the last mutation removes the closing quote. However, in the mutated code, the method performs additional checks. It first checks whether the length of the string is greater than 1, then verifies that it starts and ends with double quotes, and finally checks if there are any additional quotes within the substring between the first and last characters. This change ensures that the method only removes the opening and closing quotes if there are no other quotes within the string.",Cli29,
"CN[31],MCR[2],CI[36]","""Condition Negation"",""MethodCallReplacement"",""Condition Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation replaces the original condition !cmd.hasOption(option) && !selected with a single condition opt == null along with a throw statement. In the original code, the condition checks if the option is not present in the cmd object (indicating that it wasn't selected as a command-line option) and if no other option from the same group has been selected (selected is false). The code inside the if block would execute if both conditions are true. In the mutated code, the condition opt == null checks if the opt variable (which is obtained from the options object using the option) is null. If it is null, indicating that the option is not defined, an exception of type UnrecognizedOptionException is thrown. The impact of this mutation depends on the purpose of the code and how it is used in the broader context. The original code checks if the option is not selected and no other option from the group is selected before executing the code inside the if block. However, the mutated code throws an exception if the option is not defined, regardless of whether it is selected or part of a group.",Cli30,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","This mutation changes the condition to check if the option has an argument and if its argument name is not null or has a non-zero length. The mutant operator for this mutation could be ""Condition Modification."" This mutation modifies the append statement for the argument name in the buff string. It now checks if option.getArgName() is not null before appending it, otherwise, it appends the result of getArgName(). The mutant operator for this mutation could be ""Method Call Modification."" The overall effect of these mutations is to modify the behavior of the code that constructs a string representation of an option.
In the original code, the condition option.hasArg() && option.hasArgName() checks if the option has an argument and if its argument name is defined. If the condition is true, the original code appends the argument name to the buff string using option.getArgName().  In the mutated code, the condition option.hasArg() && (option.getArgName() == null || option.getArgName().length() != 0) checks if the option has an argument and if its argument name is either null or has a non-zero length. If the condition is true, the mutated code appends the argument name to the buff string using option.getArgName() if it's not null, otherwise, it uses getArgName() as a fallback.

Additionally, the mutation modifies the Option class by removing the default argument name ""arg"" from the argName field initialization. This means that if the argName is not explicitly set for an Option object, it will be null by default.

It's important to note that the consequences and impact of these mutations depend on the broader context of the program and how the Option class is utilized.",Cli31,
LD[33],"""While Loop Deletion.""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation removes the while loop that iterates over the characters in the text string starting from the pos position. The loop continues until it encounters a space character, a newline character, or a carriage return character, or until it reaches the end of the text string. In the original code, the loop is responsible for finding the next occurrence of a space, newline, or carriage return character after the startPos + width position in the text string. It increments the pos variable until one of these characters is found or until the end of the text string is reached. In the mutated code, the loop is removed entirely, and the pos variable is directly assigned the value of startPos + width. Consequently, the mutated code will skip the iteration process and immediately assign the calculated position to pos. The impact of this mutation is that the loop's functionality, which finds the next occurrence of specific characters, is lost. As a result, the returned value of pos will always be the same as startPos + width. The mutation effectively removes the logic that searches for a specific character and advances the pos variable accordingly.",Cli32,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation introduces a new private method called renderWrappedTextBlock that takes the same parameters as the original method. This new method reads the text string line by line using a BufferedReader and calls the renderWrappedText method for each line. The mutated code then replaces the original method call with a call to this new method. The renderWrappedTextBlock method effectively splits the text string into separate lines and invokes the renderWrappedText method for each line, ensuring that the renderWrappedText method is called within the context of each line of text. The impact of this mutation is that the renderWrappedText method now operates on individual lines instead of the entire text string. This allows for more control over the rendering of each line, potentially providing different formatting or processing for each line. The introduction of the renderWrappedTextBlock method allows for more flexibility in handling the text and customizing the rendering process.",Cli33,
"VA[200],DTR[5]","""Variable Assignment"",""DataTypeReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation modifies the initialization of the type field in the Option class. In the original code, the type field is left uninitialized, and its value is determined by default initialization rules for fields of reference types. However, in the mutated code, the type field is explicitly initialized with the String.class. By explicitly setting the type field to String.class, the mutated code ensures that if the type field is not explicitly set during the construction of an Option object using the OptionBuilder class, it will default to String.class. This means that if the type is not explicitly provided, it will assume the type of String. The impact of this mutation depends on the broader context and how the type field is used in the code. If the type field is used to determine or enforce a specific data type for option values, then the mutated code ensures that the default type is String. This may affect type checking or behavior related to the Option object.",Cli34,
"CI[36],MRV[145]","""Condition Insertion"",""Modification of Return Value""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation modifies the code by adding a condition to check if the longOpts map contains the opt key. If it does, the mutated code immediately returns a list containing only the opt value using Collections.singletonList(opt). The impact of this mutation is that if there is a perfect match between the opt value and a key in the longOpts map, the method will terminate early and return a list containing only the matched option. This prevents further processing of the loop and potential addition of other matching options to the matchingOpts list. In the original code, the loop iterates over the keys of the longOpts map and performs some logic (not shown in the provided code snippet) for adding matching options to the matchingOpts list. However, in the mutated code, if a perfect match is found, the loop is skipped entirely, and only the matched option is returned.",Cli35,
"AIS[218],MCR[2]","""Add Import Statement"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation modifies the implementation of the optionMap field by changing the underlying data structure from a HashMap to a LinkedHashMap. In the original code, a HashMap is used to store the options in the OptionGroup. However, in the mutated code, a LinkedHashMap is used instead. The impact of this mutation is that the order of the options in the optionMap will be preserved based on the insertion order. Unlike HashMap, which does not guarantee any specific order for its elements, LinkedHashMap maintains the order in which the elements were inserted. By using a LinkedHashMap, the mutated code ensures that the options in the OptionGroup are stored and retrieved in a predictable order. This may be useful if the order of options is significant and needs to be maintained.",Cli36,
"CI[36],LOR[58],MRV[145]","""Condition Insertion"" ,""Logical Operator Modification."",""Return Value Modification""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation modifies the condition and logic for determining whether a token represents a short option or not. In the original code, the condition checks if the token starts with ""-"" and has a length of at least 2 characters. Additionally, it checks if the substring starting at index 1 and ending at index 2 is a valid short option using the hasShortOption method.  In the mutated code, the condition is changed to check if the token does not start with ""-"" or has a length of 1 character. If this condition is met, the method immediately returns false indicating that the token is not a short option. If the token satisfies the condition and is considered a potential short option, the mutated code further processes the token to remove a leading ""="" sign and extract the option name. It does this by finding the index of ""="" using indexOf and then extracting the substring accordingly. Finally, it checks if the extracted option name exists in the options object using the hasShortOption method. The impact of this mutation is that the mutated code considers a wider range of tokens as invalid short options. It rejects tokens that don't start with ""-"" or have a length of 1 character, immediately returning false. This could affect the behavior of the code that relies on this method to identify and handle short options.",Cli37,
"CI[36],LOR[58],MRV[145]","""Condition Insertion"", ""Logical Operator Modification."",""Return Value Modification""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA","The mutation modifies the logic for determining whether a token represents a short option or not. In the original code, the optName variable is assigned based on whether the pos variable is -1 or not. If pos is -1, the substring starting at index 1 is assigned to optName. Otherwise, a substring from index 1 to pos is assigned. In the mutated code, after assigning the optName, the method checks if the options object has a short option with the optName. If it does, the method immediately returns true, indicating that the token is a short option. If the optName does not match any short option, the mutated code continues to check for several concatenated short options. It does this by verifying that optName has a length greater than 0 and that the first character of optName corresponds to a valid short option in the options object. If these conditions are met, the method returns true.

The impact of this mutation is that the mutated code considers a token as a short option if either the optName matches a short option or if the first character of optName corresponds to a short option. This provides an alternative way to identify short options by considering consecutive short options without the need for specifying each individual option separately.",Cli38,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation replaces the method call createFile(str) with openFile(str).In the original code, the createFile method is called to create a FileInputStream based on the given file path str. This method is responsible for handling the file creation and potential exceptions. In the mutated code, the openFile method is called instead. This method also creates a FileInputStream based on the given file path str, but it handles the file opening and potential exceptions differently. The impact of this mutation depends on the implementation of the openFile method. In the provided mutated code, the openFile method attempts to create a FileInputStream using the given file path str. If the file is not found (triggering a FileNotFoundException), a ParseException is thrown with an appropriate error message. The mutation effectively changes the behavior of the createObject method by substituting the createFile logic with the openFile logic. This may have implications for error handling, exception propagation, and the overall functionality of the method.",Cli39,
