1:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):58:1981:false |==> true
18:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2324:0 |==> -1
19:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2315:s.charAt(0) == 'i' |==> s.charAt(0) <= 'i'
20:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2315:s.charAt(0) == 'i' |==> s.charAt(0) >= 'i'
21:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2326:s.charAt(0) == 'i' |==> false
22:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2337:true |==> false
23:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):68:2334:id = true; |==> <NO-OP>
24:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):69:2387:c == 'o' |==> c <= 'o'
25:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):69:2387:c == 'o' |==> c >= 'o'
26:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):69:2388:c == 'o' |==> false
27:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2428:0 |==> 1
28:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2428:0 |==> -1
29:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2419:s.charAt(0) == 'd' |==> s.charAt(0) <= 'd'
30:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2419:s.charAt(0) == 'd' |==> s.charAt(0) >= 'd'
31:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2430:s.charAt(0) == 'd' |==> false
32:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2441:true |==> false
33:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):70:2438:id = true; |==> <NO-OP>
34:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):73:2550:0 |==> 1
35:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):73:2550:0 |==> -1
36:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2613:2 |==> 0
37:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2613:2 |==> -2
38:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2604:s.charAt(2) == 'r' |==> s.charAt(2) <= 'r'
39:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2604:s.charAt(2) == 'r' |==> s.charAt(2) >= 'r'
40:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2615:s.charAt(2) == 'r' |==> false
41:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2633:1 |==> 0
42:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2633:1 |==> -1
43:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2624:s.charAt(1) == 'o' |==> s.charAt(1) <= 'o'
44:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2624:s.charAt(1) == 'o' |==> s.charAt(1) >= 'o'
45:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2635:s.charAt(1) == 'o' |==> false
46:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2604:s.charAt(2) == 'r' && s.charAt(1) == 'o' |==> s.charAt(2) == 'r' == (s.charAt(1) == 'o')
47:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2621:s.charAt(2) == 'r' && s.charAt(1) == 'o' |==> false
48:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2604:s.charAt(2) == 'r' && s.charAt(1) == 'o' |==> s.charAt(2) == 'r'
49:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):75:2624:s.charAt(2) == 'r' && s.charAt(1) == 'o' |==> s.charAt(1) == 'o'
50:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):76:2667:true |==> false
51:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):76:2664:id = true; |==> <NO-OP>
52:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2781:2 |==> 0
53:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2781:2 |==> -2
54:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2772:s.charAt(2) == 't' |==> s.charAt(2) <= 't'
55:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2772:s.charAt(2) == 't' |==> s.charAt(2) >= 't'
56:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2783:s.charAt(2) == 't' |==> false
57:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2801:1 |==> 0
58:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2801:1 |==> -1
59:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2792:s.charAt(1) == 'n' |==> s.charAt(1) <= 'n'
60:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2792:s.charAt(1) == 'n' |==> s.charAt(1) >= 'n'
61:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2803:s.charAt(1) == 'n' |==> false
62:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2772:s.charAt(2) == 't' && s.charAt(1) == 'n' |==> s.charAt(2) == 't' == (s.charAt(1) == 'n')
63:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2789:s.charAt(2) == 't' && s.charAt(1) == 'n' |==> false
64:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2772:s.charAt(2) == 't' && s.charAt(1) == 'n' |==> s.charAt(2) == 't'
65:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):79:2792:s.charAt(2) == 't' && s.charAt(1) == 'n' |==> s.charAt(1) == 'n'
66:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):80:2835:true |==> false
67:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):80:2832:id = true; |==> <NO-OP>
68:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2949:2 |==> 0
69:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2949:2 |==> -2
70:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2940:s.charAt(2) == 'w' |==> s.charAt(2) <= 'w'
71:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2940:s.charAt(2) == 'w' |==> s.charAt(2) >= 'w'
72:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2951:s.charAt(2) == 'w' |==> false
73:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2969:1 |==> 0
74:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2969:1 |==> -1
75:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2960:s.charAt(1) == 'e' |==> s.charAt(1) <= 'e'
76:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2960:s.charAt(1) == 'e' |==> s.charAt(1) >= 'e'
77:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2971:s.charAt(1) == 'e' |==> false
78:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2940:s.charAt(2) == 'w' && s.charAt(1) == 'e' |==> s.charAt(2) == 'w' == (s.charAt(1) == 'e')
79:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2957:s.charAt(2) == 'w' && s.charAt(1) == 'e' |==> false
80:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2940:s.charAt(2) == 'w' && s.charAt(1) == 'e' |==> s.charAt(2) == 'w'
81:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):83:2960:s.charAt(2) == 'w' && s.charAt(1) == 'e' |==> s.charAt(1) == 'e'
82:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):84:3003:true |==> false
83:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):84:3000:id = true; |==> <NO-OP>
84:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3117:2 |==> 0
85:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3117:2 |==> -2
86:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3108:s.charAt(2) == 'y' |==> s.charAt(2) <= 'y'
87:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3108:s.charAt(2) == 'y' |==> s.charAt(2) >= 'y'
88:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3119:s.charAt(2) == 'y' |==> false
89:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3137:1 |==> 0
90:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3137:1 |==> -1
91:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3128:s.charAt(1) == 'r' |==> s.charAt(1) <= 'r'
92:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3128:s.charAt(1) == 'r' |==> s.charAt(1) >= 'r'
93:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3139:s.charAt(1) == 'r' |==> false
94:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3108:s.charAt(2) == 'y' && s.charAt(1) == 'r' |==> s.charAt(2) == 'y' == (s.charAt(1) == 'r')
95:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3125:s.charAt(2) == 'y' && s.charAt(1) == 'r' |==> false
96:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3108:s.charAt(2) == 'y' && s.charAt(1) == 'r' |==> s.charAt(2) == 'y'
97:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):87:3128:s.charAt(2) == 'y' && s.charAt(1) == 'r' |==> s.charAt(1) == 'r'
98:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):88:3171:true |==> false
99:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):88:3168:id = true; |==> <NO-OP>
100:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3285:2 |==> 0
101:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3285:2 |==> -2
102:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3276:s.charAt(2) == 'r' |==> s.charAt(2) <= 'r'
103:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3276:s.charAt(2) == 'r' |==> s.charAt(2) >= 'r'
104:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3287:s.charAt(2) == 'r' |==> false
105:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3305:1 |==> 0
106:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3305:1 |==> -1
107:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3296:s.charAt(1) == 'a' |==> s.charAt(1) <= 'a'
108:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3296:s.charAt(1) == 'a' |==> s.charAt(1) >= 'a'
109:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3307:s.charAt(1) == 'a' |==> false
110:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3276:s.charAt(2) == 'r' && s.charAt(1) == 'a' |==> s.charAt(2) == 'r' == (s.charAt(1) == 'a')
111:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3293:s.charAt(2) == 'r' && s.charAt(1) == 'a' |==> false
112:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3276:s.charAt(2) == 'r' && s.charAt(1) == 'a' |==> s.charAt(2) == 'r'
113:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):91:3296:s.charAt(2) == 'r' && s.charAt(1) == 'a' |==> s.charAt(1) == 'a'
114:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):92:3339:true |==> false
115:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):92:3336:id = true; |==> <NO-OP>
116:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):95:3466:0 |==> 1
117:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):95:3466:0 |==> -1
118:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):96:3498:X = "byte"; |==> <NO-OP>
119:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):96:3510:true |==> false
120:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):96:3507:id = true; |==> <NO-OP>
121:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):97:3568:3 |==> 0
122:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):97:3568:3 |==> -3
123:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3596:c == 'e' |==> c <= 'e'
124:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3596:c == 'e' |==> c >= 'e'
125:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3597:c == 'e' |==> false
126:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3619:2 |==> 0
127:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3619:2 |==> -2
128:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3610:s.charAt(2) == 's' |==> s.charAt(2) <= 's'
129:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3610:s.charAt(2) == 's' |==> s.charAt(2) >= 's'
130:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3621:s.charAt(2) == 's' |==> false
131:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3639:1 |==> 0
132:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3639:1 |==> -1
133:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3630:s.charAt(1) == 'a' |==> s.charAt(1) <= 'a'
134:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3630:s.charAt(1) == 'a' |==> s.charAt(1) >= 'a'
135:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3641:s.charAt(1) == 'a' |==> false
136:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3610:s.charAt(2) == 's' && s.charAt(1) == 'a' |==> s.charAt(2) == 's' == (s.charAt(1) == 'a')
137:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3627:s.charAt(2) == 's' && s.charAt(1) == 'a' |==> false
138:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3610:s.charAt(2) == 's' && s.charAt(1) == 'a' |==> s.charAt(2) == 's'
139:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):98:3630:s.charAt(2) == 's' && s.charAt(1) == 'a' |==> s.charAt(1) == 'a'
140:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):99:3681:true |==> false
141:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):99:3678:id = true; |==> <NO-OP>
142:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):100:3735:c == 'r' |==> c <= 'r'
143:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):100:3735:c == 'r' |==> c >= 'r'
144:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):100:3736:c == 'r' |==> false
145:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3780:2 |==> 0
146:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3780:2 |==> -2
147:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3771:s.charAt(2) == 'a' |==> s.charAt(2) <= 'a'
148:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3771:s.charAt(2) == 'a' |==> s.charAt(2) >= 'a'
149:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3782:s.charAt(2) == 'a' |==> false
150:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3800:1 |==> 0
151:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3800:1 |==> -1
152:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3791:s.charAt(1) == 'h' |==> s.charAt(1) <= 'h'
153:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3791:s.charAt(1) == 'h' |==> s.charAt(1) >= 'h'
154:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3802:s.charAt(1) == 'h' |==> false
155:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3771:s.charAt(2) == 'a' && s.charAt(1) == 'h' |==> s.charAt(2) == 'a' == (s.charAt(1) == 'h')
156:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3788:s.charAt(2) == 'a' && s.charAt(1) == 'h' |==> false
157:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3771:s.charAt(2) == 'a' && s.charAt(1) == 'h' |==> s.charAt(2) == 'a'
158:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):101:3791:s.charAt(2) == 'a' && s.charAt(1) == 'h' |==> s.charAt(1) == 'h'
159:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):102:3838:true |==> false
160:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):102:3835:id = true; |==> <NO-OP>
161:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):106:3978:3 |==> 0
162:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):106:3978:3 |==> -3
163:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4006:c == 'e' |==> c <= 'e'
164:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4006:c == 'e' |==> c >= 'e'
165:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4007:c == 'e' |==> false
166:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4029:2 |==> 0
167:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4029:2 |==> -2
168:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4020:s.charAt(2) == 's' |==> s.charAt(2) <= 's'
169:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4020:s.charAt(2) == 's' |==> s.charAt(2) >= 's'
170:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4031:s.charAt(2) == 's' |==> false
171:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4049:1 |==> 0
172:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4049:1 |==> -1
173:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4040:s.charAt(1) == 'l' |==> s.charAt(1) <= 'l'
174:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4040:s.charAt(1) == 'l' |==> s.charAt(1) >= 'l'
175:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4051:s.charAt(1) == 'l' |==> false
176:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4020:s.charAt(2) == 's' && s.charAt(1) == 'l' |==> s.charAt(2) == 's' == (s.charAt(1) == 'l')
177:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4037:s.charAt(2) == 's' && s.charAt(1) == 'l' |==> false
178:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4020:s.charAt(2) == 's' && s.charAt(1) == 'l' |==> s.charAt(2) == 's'
179:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):107:4040:s.charAt(2) == 's' && s.charAt(1) == 'l' |==> s.charAt(1) == 'l'
180:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):108:4091:true |==> false
181:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):108:4088:id = true; |==> <NO-OP>
182:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):109:4145:c == 'm' |==> c <= 'm'
183:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):109:4145:c == 'm' |==> c >= 'm'
