1:LVR:0:POS:com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableJoinOp@apply(java.util.List<com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice>):56:2364:0 |==> 1
24:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):162:5263:result.liveSet.andNot(kill); |==> <NO-OP>
25:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@flowThrough(com.google.javascript.rhino.Node,com.google.javascript.jscomp.LiveVariablesAnalysis.LiveVariableLattice):163:5296:result.liveSet.or(gen); |==> <NO-OP>
26:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):190:6115:computeGenKill(NodeUtil.getConditionExpression(n), gen, kill, conditional); |==> <NO-OP>
27:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):195:6271:NodeUtil.isForIn(n) |==> false
28:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):195:6271:NodeUtil.isForIn(n) |==> true
29:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):196:6288:computeGenKill(NodeUtil.getConditionExpression(n), gen, kill, conditional); |==> <NO-OP>
30:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):202:6530:NodeUtil.isVar(lhs) |==> false
31:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):202:6530:NodeUtil.isVar(lhs) |==> true
32:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):204:6588:lhs = lhs.getLastChild(); |==> <NO-OP>
33:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):206:6638:addToSetIfLocal(lhs, kill); |==> <NO-OP>
34:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):207:6678:addToSetIfLocal(lhs, gen); |==> <NO-OP>
35:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):208:6715:computeGenKill(rhs, gen, kill, conditional); |==> <NO-OP>
36:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):213:6852:c != null |==> true
37:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):214:6907:c.hasChildren() |==> false
38:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):214:6907:c.hasChildren() |==> true
39:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):215:6925:computeGenKill(c.getFirstChild(), gen, kill, conditional); |==> <NO-OP>
40:COR:<IDENTIFIER(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):216:7001:conditional |==> false
41:COR:<IDENTIFIER(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):216:7001:conditional |==> true
42:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):217:7030:addToSetIfLocal(c, kill); |==> <NO-OP>
43:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):225:7160:computeGenKill(n.getFirstChild(), gen, kill, conditional); |==> <NO-OP>
44:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):227:7301:true |==> false
45:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):227:7257:computeGenKill(n.getLastChild(), gen, kill, true); |==> <NO-OP>
46:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):231:7356:computeGenKill(n.getFirstChild(), gen, kill, conditional); |==> <NO-OP>
47:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):233:7524:true |==> false
48:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):233:7469:computeGenKill(n.getFirstChild().getNext(), gen, kill, true); |==> <NO-OP>
49:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):234:7583:true |==> false
50:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):234:7539:computeGenKill(n.getLastChild(), gen, kill, true); |==> <NO-OP>
51:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):238:7657:isArgumentsName(n) |==> false
52:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):238:7657:isArgumentsName(n) |==> true
53:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):239:7674:markAllParametersEscaped(); |==> <NO-OP>
54:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):241:7729:addToSetIfLocal(n, gen); |==> <NO-OP>
55:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):246:7808:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isAssignmentOp(n) == NodeUtil.isName(n.getFirstChild())
56:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):246:7835:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> false
57:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):246:7808:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isAssignmentOp(n)
58:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):246:7838:NodeUtil.isAssignmentOp(n) && NodeUtil.isName(n.getFirstChild()) |==> NodeUtil.isName(n.getFirstChild())
59:COR:<IDENTIFIER(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):248:7931:conditional |==> false
60:COR:<IDENTIFIER(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):248:7931:conditional |==> true
61:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):249:7958:addToSetIfLocal(lhs, kill); |==> <NO-OP>
62:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):251:8030:NodeUtil.isAssign(n) |==> false
63:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):251:8030:NodeUtil.isAssign(n) |==> true
64:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):253:8100:addToSetIfLocal(lhs, gen); |==> <NO-OP>
65:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):255:8149:computeGenKill(lhs.getNext(), gen, kill, conditional); |==> <NO-OP>
66:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):257:8266:c != null |==> true
67:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@computeGenKill(com.google.javascript.rhino.Node,java.util.BitSet,java.util.BitSet,boolean):258:8306:computeGenKill(c, gen, kill, conditional); |==> <NO-OP>
68:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):266:8458:Preconditions.checkState(NodeUtil.isName(node)); |==> <NO-OP>
69:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):268:8577:false |==> true
70:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):268:8570:jsScope.isDeclared(name, false) |==> false
71:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):268:8570:jsScope.isDeclared(name, false) |==> true
72:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):272:8668:escaped.contains(var) |==> false
73:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):272:8668:escaped.contains(var) |==> true
74:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@addToSetIfLocal(com.google.javascript.rhino.Node,java.util.BitSet):273:8683:set.set(var.index); |==> <NO-OP>
75:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.LiveVariablesAnalysis@markAllParametersEscaped():283:8980:arg != null |==> true
76:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.LiveVariablesAnalysis@markAllParametersEscaped():284:9018:escaped.add(jsScope.getVar(arg.getString())); |==> <NO-OP>
77:ROR:!=(int,int):<(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME |==> n.getType() < Token.NAME
78:ROR:!=(int,int):>(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME |==> n.getType() > Token.NAME
79:ROR:!=(int,int):TRUE(int,int):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9139:n.getType() != Token.NAME |==> true
80:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> n.getType() != Token.NAME != !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
81:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> n.getType() != Token.NAME
82:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):290:9164:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
83:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9153:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) |==> true
84:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):291:9260:false |==> true
85:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> (n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS)) != jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false)
86:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):289:9127:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS)
87:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):291:9219:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false)
88:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):290:9208:n.getType() != Token.NAME || !n.getString().equals(ARGUMENT_ARRAY_ALIAS) || jsScope.isDeclared(ARGUMENT_ARRAY_ALIAS, false) |==> true
89:LVR:FALSE:TRUE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):292:9283:false |==> true
90:LVR:TRUE:FALSE:com.google.javascript.jscomp.LiveVariablesAnalysis@isArgumentsName(com.google.javascript.rhino.Node):294:9316:true |==> false
