1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:2694:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
15:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:5315:0 |==> -1
16:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:5297:priorityCounter = 0; |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):163:5376:prioritizeFromEntryNode(entry); |==> <NO-OP>
18:COR:<IDENTIFIER(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):165:5417:shouldTraverseFunctions |==> false
19:COR:<IDENTIFIER(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):165:5417:shouldTraverseFunctions |==> true
20:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:5682:value != null |==> true
21:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:5676:value != null && value.isFunction() |==> value != null == value.isFunction()
22:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:5690:value != null && value.isFunction() |==> false
23:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:5676:value != null && value.isFunction() |==> value != null
24:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:5693:value != null && value.isFunction() |==> value.isFunction()
25:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:5817:candidate == entry |==> false
26:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:5765:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate) != (candidate == entry)
27:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:5765:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate)
28:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:5807:!nodePriorities.containsKey(candidate) || candidate == entry |==> candidate == entry
29:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:5804:!nodePriorities.containsKey(candidate) || candidate == entry |==> true
30:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):171:5725:Preconditions.checkState(!nodePriorities.containsKey(candidate) || candidate == entry); |==> <NO-OP>
31:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):173:5838:prioritizeFromEntryNode(candidate); |==> <NO-OP>
32:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):183:6277:nodePriorities.containsKey(candidate) |==> false
33:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):183:6277:nodePriorities.containsKey(candidate) |==> true
34:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):184:6300:nodePriorities.put(candidate, ++priorityCounter); |==> <NO-OP>
35:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):189:6424:nodePriorities.put(cfg.getImplicitReturn(), ++priorityCounter); |==> <NO-OP>
36:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):198:6784:10 |==> 0
37:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):198:6784:10 |==> -10
38:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):199:6813:worklist.add(entry); |==> <NO-OP>
39:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):203:6966:nodePriorities.containsKey(current) |==> false
40:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):203:6966:nodePriorities.containsKey(current) |==> true
41:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):207:7012:nodePriorities.put(current, ++priorityCounter); |==> <NO-OP>
42:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):212:7228:worklist.add(candidate); |==> <NO-OP>
43:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):220:7379:astPosition.put(n, astPositionCounter++); |==> <NO-OP>
44:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7517:n == cfg.getEntry().getValue() |==> false
45:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7488:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions != (n == cfg.getEntry().getValue())
46:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7488:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> shouldTraverseFunctions
47:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7515:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> n == cfg.getEntry().getValue()
48:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:7512:shouldTraverseFunctions || n == cfg.getEntry().getValue() |==> true
49:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):225:7559:exceptionHandler.push(n); |==> <NO-OP>
50:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):226:7602:true |==> false
51:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):228:7633:false |==> true
52:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:7670:exceptionHandler.push(n); |==> <NO-OP>
53:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):231:7711:true |==> false
54:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):250:8508:parent != null |==> true
55:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):254:8649:n == parent.getLastChild() |==> false
56:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):260:8801:n != parent.getFirstChild() |==> true
57:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):262:8870:n != parent.getFirstChild().getNext() |==> true
58:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):268:9077:n != parent.getFirstChild() |==> true
59:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):270:9152:n == parent.getFirstChild().getNext().getNext() |==> false
60:LVR:FALSE:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):277:9380:false |==> true
61:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):285:9834:n == parent.getFirstChild().getNext() |==> false
62:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):286:9934:exceptionHandler.peek() == parent |==> false
63:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):286:9885:Preconditions.checkState(exceptionHandler.peek() == parent); |==> <NO-OP>
64:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):287:9958:exceptionHandler.pop(); |==> <NO-OP>
65:LVR:TRUE:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):291:10019:true |==> false
66:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):298:10158:handleIf(n); |==> <NO-OP>
67:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):301:10219:handleWhile(n); |==> <NO-OP>
68:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):304:10280:handleDo(n); |==> <NO-OP>
69:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):307:10339:handleFor(n); |==> <NO-OP>
70:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):310:10402:handleSwitch(n); |==> <NO-OP>
71:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):313:10466:handleCase(n); |==> <NO-OP>
72:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):316:10536:handleDefault(n); |==> <NO-OP>
73:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):320:10627:handleStmtList(n); |==> <NO-OP>
74:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):323:10697:handleFunction(n); |==> <NO-OP>
75:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):326:10770:handleExpr(n); |==> <NO-OP>
76:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):329:10833:handleThrow(n); |==> <NO-OP>
77:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):332:10895:handleTry(n); |==> <NO-OP>
78:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):335:10957:handleCatch(n); |==> <NO-OP>
79:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):338:11021:handleBreak(n); |==> <NO-OP>
80:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):341:11088:handleContinue(n); |==> <NO-OP>
81:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):344:11156:handleReturn(n); |==> <NO-OP>
82:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):347:11220:handleWith(n); |==> <NO-OP>
83:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):352:11314:handleStmt(n); |==> <NO-OP>
84:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):360:11492:createEdge(node, Branch.ON_TRUE, computeFallThrough(thenBlock)); |==> <NO-OP>
85:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):362:11576:elseBlock == null |==> false
86:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):363:11593:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)); |==> <NO-OP>
87:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):366:11708:createEdge(node, Branch.ON_FALSE, computeFallThrough(elseBlock)); |==> <NO-OP>
88:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleIf(com.google.javascript.rhino.Node):368:11784:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
89:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):374:12001:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild().getNext())); |==> <NO-OP>
90:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):378:12173:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)); |==> <NO-OP>
91:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWhile(com.google.javascript.rhino.Node):380:12251:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
92:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):387:12477:createEdge(node, Branch.ON_TRUE, computeFallThrough(node.getFirstChild())); |==> <NO-OP>
93:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):389:12621:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)); |==> <NO-OP>
94:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDo(com.google.javascript.rhino.Node):391:12699:connectToPossibleExceptionHandler(node, NodeUtil.getConditionExpression(node)); |==> <NO-OP>
95:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:12869:4 |==> 0
96:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:12869:4 |==> -4
97:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:12842:forNode.getChildCount() == 4 |==> forNode.getChildCount() <= 4
98:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:12842:forNode.getChildCount() == 4 |==> forNode.getChildCount() >= 4
99:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):396:12866:forNode.getChildCount() == 4 |==> false
100:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):404:13204:createEdge(init, Branch.UNCOND, forNode); |==> <NO-OP>
101:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):406:13327:createEdge(forNode, Branch.ON_TRUE, computeFallThrough(body)); |==> <NO-OP>
102:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):408:13434:createEdge(forNode, Branch.ON_FALSE, computeFollowNode(forNode, this)); |==> <NO-OP>
103:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):414:13766:createEdge(iter, Branch.UNCOND, forNode); |==> <NO-OP>
104:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):415:13814:connectToPossibleExceptionHandler(init, init); |==> <NO-OP>
105:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):416:13867:connectToPossibleExceptionHandler(forNode, cond); |==> <NO-OP>
106:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):417:13923:connectToPossibleExceptionHandler(iter, iter); |==> <NO-OP>
107:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):424:14206:createEdge(collection, Branch.UNCOND, forNode); |==> <NO-OP>
108:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):426:14335:createEdge(forNode, Branch.ON_TRUE, computeFallThrough(body)); |==> <NO-OP>
109:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFor(com.google.javascript.rhino.Node):428:14442:createEdge(forNode, Branch.ON_FALSE, computeFollowNode(forNode, this)); |==> <NO-OP>
