1:AOR:+(long,long):%(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(int,int):80:2499:(long)x + (long)y |==> (long)x % (long)y
32:ROR:<=(long,long):==(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):123:3816:Long.MIN_VALUE - b <= a |==> Long.MIN_VALUE - b == a
33:ROR:<=(long,long):TRUE(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):123:3835:Long.MIN_VALUE - b <= a |==> true
34:AOR:+(long,long):%(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):124:3873:a + b |==> a % b
35:AOR:+(long,long):*(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):124:3873:a + b |==> a * b
36:AOR:+(long,long):-(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):124:3873:a + b |==> a - b
37:AOR:+(long,long):/(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):124:3873:a + b |==> a / b
38:AOR:+(long,long):%(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):130:4103:a + b |==> a % b
39:AOR:+(long,long):*(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):130:4103:a + b |==> a * b
40:AOR:+(long,long):-(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):130:4103:a + b |==> a - b
41:AOR:+(long,long):/(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):130:4103:a + b |==> a / b
42:AOR:-(long,long):%(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4288:Long.MAX_VALUE - b |==> Long.MAX_VALUE % b
43:AOR:-(long,long):*(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4288:Long.MAX_VALUE - b |==> Long.MAX_VALUE * b
44:AOR:-(long,long):+(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4288:Long.MAX_VALUE - b |==> Long.MAX_VALUE + b
45:AOR:-(long,long):/(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4288:Long.MAX_VALUE - b |==> Long.MAX_VALUE / b
46:ROR:<=(long,long):<(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4283:a <= Long.MAX_VALUE - b |==> a < Long.MAX_VALUE - b
47:ROR:<=(long,long):==(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4283:a <= Long.MAX_VALUE - b |==> a == Long.MAX_VALUE - b
48:ROR:<=(long,long):TRUE(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):137:4285:a <= Long.MAX_VALUE - b |==> true
49:AOR:+(long,long):%(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):138:4336:a + b |==> a % b
50:AOR:+(long,long):*(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):138:4336:a + b |==> a * b
51:AOR:+(long,long):-(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):138:4336:a + b |==> a - b
52:AOR:+(long,long):/(long,long):org.apache.commons.math.util.MathUtils@addAndCheck(long,long,java.lang.String):138:4336:a + b |==> a / b
53:ROR:<(int,int):!=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):173:5715:n < k |==> n != k
54:ROR:<(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):173:5715:n < k |==> n <= k
55:ROR:<(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):173:5717:n < k |==> false
56:LVR:0:POS:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):177:5866:0 |==> 1
57:LVR:0:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):177:5866:0 |==> -1
58:ROR:<(int,int):!=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):177:5862:n < 0 |==> n != 0
59:ROR:<(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):177:5862:n < 0 |==> n <= 0
60:ROR:<(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):177:5864:n < 0 |==> false
61:ROR:==(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6010:n == k |==> n <= k
62:ROR:==(int,int):>=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6010:n == k |==> n >= k
63:ROR:==(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6012:n == k |==> false
64:LVR:0:POS:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6027:0 |==> 1
65:LVR:0:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6027:0 |==> -1
66:ROR:==(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6022:k == 0 |==> k <= 0
67:ROR:==(int,int):>=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6022:k == 0 |==> k >= 0
68:ROR:==(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6024:k == 0 |==> false
69:COR:||(boolean,boolean):!=(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6009:(n == k) || (k == 0) |==> (n == k) != (k == 0)
70:COR:||(boolean,boolean):LHS(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6009:(n == k) || (k == 0) |==> (n == k)
71:COR:||(boolean,boolean):RHS(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6021:(n == k) || (k == 0) |==> (k == 0)
72:COR:||(boolean,boolean):TRUE(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):181:6018:(n == k) || (k == 0) |==> true
73:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):182:6052:1 |==> 0
74:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):182:6052:1 |==> -1
75:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6083:1 |==> 0
76:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6083:1 |==> -1
77:ROR:==(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6078:k == 1 |==> k <= 1
78:ROR:==(int,int):>=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6078:k == 1 |==> k >= 1
79:ROR:==(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6080:k == 1 |==> false
80:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6099:1 |==> 0
81:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6099:1 |==> -1
82:AOR:-(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6095:n - 1 |==> n % 1
83:AOR:-(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6095:n - 1 |==> n * 1
84:AOR:-(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6095:n - 1 |==> n + 1
85:AOR:-(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6095:n - 1 |==> n / 1
86:ROR:==(int,int):<=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6090:k == n - 1 |==> k <= n - 1
87:ROR:==(int,int):>=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6090:k == n - 1 |==> k >= n - 1
88:ROR:==(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6092:k == n - 1 |==> false
89:COR:||(boolean,boolean):!=(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6077:(k == 1) || (k == n - 1) |==> (k == 1) != (k == n - 1)
90:COR:||(boolean,boolean):LHS(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6077:(k == 1) || (k == n - 1) |==> (k == 1)
91:COR:||(boolean,boolean):RHS(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6089:(k == 1) || (k == n - 1) |==> (k == n - 1)
92:COR:||(boolean,boolean):TRUE(boolean,boolean):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):184:6086:(k == 1) || (k == n - 1) |==> true
93:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6193:2 |==> 0
94:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6193:2 |==> -2
95:AOR:/(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6189:n / 2 |==> n % 2
96:AOR:/(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6189:n / 2 |==> n * 2
97:AOR:/(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6189:n / 2 |==> n + 2
98:AOR:/(int,int):-(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6189:n / 2 |==> n - 2
99:ROR:>(int,int):!=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6185:k > n / 2 |==> k != n / 2
100:ROR:>(int,int):>=(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6185:k > n / 2 |==> k >= n / 2
101:ROR:>(int,int):FALSE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):188:6187:k > n / 2 |==> false
102:AOR:-(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):189:6238:n - k |==> n % k
103:AOR:-(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):189:6238:n - k |==> n * k
104:AOR:-(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):189:6238:n - k |==> n + k
105:AOR:-(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):189:6238:n - k |==> n / k
106:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):196:6491:1 |==> 0
107:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):196:6491:1 |==> -1
108:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):197:6511:61 |==> 0
109:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):197:6511:61 |==> -61
110:ROR:<=(int,int):<(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):197:6506:n <= 61 |==> n < 61
111:ROR:<=(int,int):==(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):197:6506:n <= 61 |==> n == 61
112:ROR:<=(int,int):TRUE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):197:6508:n <= 61 |==> true
113:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6612:1 |==> 0
114:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6612:1 |==> -1
115:AOR:-(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k |==> n % k
116:AOR:-(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k |==> n * k
117:AOR:-(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k |==> n + k
118:AOR:-(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k |==> n / k
119:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6627:1 |==> 0
120:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6627:1 |==> -1
121:AOR:+(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k + 1 |==> (n - k) % 1
122:AOR:+(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k + 1 |==> (n - k) * 1
123:AOR:+(int,int):-(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k + 1 |==> n - k - 1
124:AOR:+(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6619:n - k + 1 |==> (n - k) / 1
125:ROR:<=(int,int):<(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6630:j <= k |==> j < k
126:ROR:<=(int,int):==(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6630:j <= k |==> j == k
127:ROR:<=(int,int):TRUE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):199:6632:j <= k |==> true
128:AOR:*(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i |==> result % i
129:AOR:*(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i |==> result + i
130:AOR:*(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i |==> result - i
131:AOR:*(long,long):/(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i |==> result / i
132:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i / j |==> result * i % j
133:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i / j |==> result * i * j
134:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i / j |==> result * i + j
135:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6675:result * i / j |==> result * i - j
136:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):200:6666:result = result * i / j; |==> <NO-OP>
137:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):202:6729:66 |==> 0
138:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):202:6729:66 |==> -66
139:ROR:<=(int,int):<(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):202:6724:n <= 66 |==> n < 66
140:ROR:<=(int,int):==(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):202:6724:n <= 66 |==> n == 66
141:ROR:<=(int,int):TRUE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):202:6726:n <= 66 |==> true
142:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6901:1 |==> 0
143:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6901:1 |==> -1
144:AOR:-(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k |==> n % k
145:AOR:-(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k |==> n * k
146:AOR:-(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k |==> n + k
147:AOR:-(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k |==> n / k
148:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6916:1 |==> 0
149:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6916:1 |==> -1
150:AOR:+(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k + 1 |==> (n - k) % 1
151:AOR:+(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k + 1 |==> (n - k) * 1
152:AOR:+(int,int):-(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k + 1 |==> n - k - 1
153:AOR:+(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6908:n - k + 1 |==> (n - k) / 1
154:ROR:<=(int,int):<(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6919:j <= k |==> j < k
155:ROR:<=(int,int):==(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6919:j <= k |==> j == k
156:ROR:<=(int,int):TRUE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):205:6921:j <= k |==> true
157:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7373:j / d |==> j % d
158:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7373:j / d |==> j * d
159:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7373:j / d |==> j + d
160:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7373:j / d |==> j - d
161:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7363:result / (j / d) |==> result % (j / d)
162:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7363:result / (j / d) |==> result * (j / d)
163:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7363:result / (j / d) |==> result + (j / d)
164:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7363:result / (j / d) |==> result - (j / d)
165:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7384:i / d |==> i % d
166:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7384:i / d |==> i * d
167:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7384:i / d |==> i + d
168:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7384:i / d |==> i - d
169:AOR:*(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7362:(result / (j / d)) * (i / d) |==> (result / (j / d)) % (i / d)
170:AOR:*(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7362:(result / (j / d)) * (i / d) |==> (result / (j / d)) + (i / d)
171:AOR:*(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7362:(result / (j / d)) * (i / d) |==> (result / (j / d)) - (i / d)
172:AOR:*(long,long):/(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7362:(result / (j / d)) * (i / d) |==> (result / (j / d)) / (i / d)
173:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):213:7353:result = (result / (j / d)) * (i / d); |==> <NO-OP>
174:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7609:1 |==> 0
175:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7609:1 |==> -1
176:AOR:-(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k |==> n % k
177:AOR:-(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k |==> n * k
178:AOR:-(int,int):+(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k |==> n + k
179:AOR:-(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k |==> n / k
180:LVR:POS:0:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7624:1 |==> 0
181:LVR:POS:NEG:org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7624:1 |==> -1
182:AOR:+(int,int):%(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k + 1 |==> (n - k) % 1
183:AOR:+(int,int):*(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k + 1 |==> (n - k) * 1
184:AOR:+(int,int):-(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k + 1 |==> n - k - 1
185:AOR:+(int,int):/(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7616:n - k + 1 |==> (n - k) / 1
186:ROR:<=(int,int):<(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7627:j <= k |==> j < k
187:ROR:<=(int,int):==(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7627:j <= k |==> j == k
188:ROR:<=(int,int):TRUE(int,int):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):219:7629:j <= k |==> true
189:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7731:j / d |==> j % d
190:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7731:j / d |==> j * d
191:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7731:j / d |==> j + d
192:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7731:j / d |==> j - d
193:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7721:result / (j / d) |==> result % (j / d)
194:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7721:result / (j / d) |==> result * (j / d)
195:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7721:result / (j / d) |==> result + (j / d)
196:AOR:/(long,long):-(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7721:result / (j / d) |==> result - (j / d)
197:AOR:/(long,long):%(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7741:i / d |==> i % d
198:AOR:/(long,long):*(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7741:i / d |==> i * d
199:AOR:/(long,long):+(long,long):org.apache.commons.math.util.MathUtils@binomialCoefficient(int,int):221:7741:i / d |==> i + d
